decimalLatitude,decimalLongitude,Year,August,July,June,May,April,March,SeptBefore,AugustBefore,JulyBefore,JuneBefore,T_August,T_July,T_June,T_May,T_April,T_March,T_SeptBefore,T_AugustBefore,T_JulyBefore,T_JuneBefore
51.5343,-0.455,1987,MONTH_1987-08-16,MONTH_1987-07-16,MONTH_1987-06-16,MONTH_1987-05-16,MONTH_1987-04-16,MONTH_1987-03-16,MONTH_1986-09-16,MONTH_1986-08-16,MONTH_1986-07-16,MONTH_1986-06-16,16.664670891269193,16.900871802186803,14.077991458181323,11.005258376984324,10.80068993771918,4.57953737104733,12.001852680138612,15.1184281407276,17.34088863406489,15.795203706801825
50.4543,-4.9978,1963,MONTH_1963-08-16,MONTH_1963-07-16,MONTH_1963-06-16,MONTH_1963-05-16,MONTH_1963-04-16,MONTH_1963-03-16,MONTH_1962-09-16,MONTH_1962-08-16,MONTH_1962-07-16,MONTH_1962-06-16,14.672987404972412,14.649964942235767,14.259477043395334,10.54121225342334,8.570835260841354,7.1169635980405666,13.034954896152584,14.538252502564768,14.794828189152094,13.209313151591493
51.0905,-2.267,1987,MONTH_1987-08-16,MONTH_1987-07-16,MONTH_1987-06-16,MONTH_1987-05-16,MONTH_1987-04-16,MONTH_1987-03-16,MONTH_1986-09-16,MONTH_1986-08-16,MONTH_1986-07-16,MONTH_1986-06-16,15.38957388149173,15.569025736260567,12.947521028132671,10.01811404933995,9.377858720306877,4.1738546958415625,10.827810623573622,13.28889585011052,15.300044653444111,14.565546185310854
51.0723,-2.1722,1974,MONTH_1974-08-16,MONTH_1974-07-16,MONTH_1974-06-16,MONTH_1974-05-16,MONTH_1974-04-16,MONTH_1974-03-16,MONTH_1973-09-16,MONTH_1973-08-16,MONTH_1973-07-16,MONTH_1973-06-16,14.390265193105405,14.586841534020781,13.564431990047837,10.112043880713525,7.711235812679914,5.345541969374422,14.219099747464584,16.49245793239958,15.091360585361818,14.371391657463962
51.0723,-2.1722,1976,MONTH_1976-08-16,MONTH_1976-07-16,MONTH_1976-06-16,MONTH_1976-05-16,MONTH_1976-04-16,MONTH_1976-03-16,MONTH_1975-09-16,MONTH_1975-08-16,MONTH_1975-07-16,MONTH_1975-06-16,17.227392461434558,18.075555913417,16.91147035082692,11.333919442835715,7.309388064954487,4.4896168602903455,12.95839885408108,17.730176026359278,16.904015180754126,14.774535138208101
51.1835,-2.1066,1992,MONTH_1992-08-16,MONTH_1992-07-16,MONTH_1992-06-16,MONTH_1992-05-16,MONTH_1992-04-16,MONTH_1992-03-16,MONTH_1991-09-16,MONTH_1991-08-16,MONTH_1991-07-16,MONTH_1991-06-16,15.127209817557691,16.022530194480996,15.352087586763481,12.996630555331981,8.053174779175608,7.125497153251842,14.667864285116082,16.464882637921257,16.215030368025854,11.94979811614973
51.084,-2.3156,1983,MONTH_1983-08-16,MONTH_1983-07-16,MONTH_1983-06-16,MONTH_1983-05-16,MONTH_1983-04-16,MONTH_1983-03-16,MONTH_1982-09-16,MONTH_1982-08-16,MONTH_1982-07-16,MONTH_1982-06-16,17.126225769182188,19.47205026408679,14.403681213011394,9.803682054973136,6.372794540962067,5.95135654804006,14.30722507180612,15.275093394477251,16.03582406251303,15.423039281951455
51.0905,-2.267,1984,MONTH_1984-08-16,MONTH_1984-07-16,MONTH_1984-06-16,MONTH_1984-05-16,MONTH_1984-04-16,MONTH_1984-03-16,MONTH_1983-09-16,MONTH_1983-08-16,MONTH_1983-07-16,MONTH_1983-06-16,17.027312567173748,16.227231470472905,14.76554704646033,9.543259944367849,7.830527894876434,4.471198456003391,13.471520558498147,17.126225769182188,19.47205026408679,14.403681213011394
51.0936,-2.1291,1984,MONTH_1984-08-16,MONTH_1984-07-16,MONTH_1984-06-16,MONTH_1984-05-16,MONTH_1984-04-16,MONTH_1984-03-16,MONTH_1983-09-16,MONTH_1983-08-16,MONTH_1983-07-16,MONTH_1983-06-16,17.027312567173748,16.227231470472905,14.76554704646033,9.543259944367849,7.830527894876434,4.471198456003391,13.471520558498147,17.126225769182188,19.47205026408679,14.403681213011394
51.2463,-1.9922,1973,MONTH_1973-08-16,MONTH_1973-07-16,MONTH_1973-06-16,MONTH_1973-05-16,MONTH_1973-04-16,MONTH_1973-03-16,MONTH_1972-09-16,MONTH_1972-08-16,MONTH_1972-07-16,MONTH_1972-06-16,16.97100676416856,15.40772054688621,14.594080163689188,11.121045858511698,7.156404118383933,5.746001638592443,11.834442967245286,15.1431437899039,15.386022780204721,11.288053666986064
