Individual,Implausible,Taxon name,decimalLatitude,decimalLongitude,LocationType,Month,Year,Sex,left_wing (mm),right_wing (mm),left_wing_center (mm),right_wing_center (mm),wingspan_mm,wing_shoulder (mm)
BMNHE_1058565_270_7b192af59fe0de034788279981fcd9e8092300d9.JPG,FALSE,Aglais urticae,51.5343,-0.455,LatLong,8,1987,female,20.73,20.74,25.86,25.57,38.07,2.72
BMNHE_1058571_276_1881786ccf963c6888119041bbbf77f88d90dc52.JPG,FALSE,Aglais urticae,50.4543,-4.9978,LatLong,8,1963,female,22.74,22.63,27.14,27.22,45.84,4.22
BMNHE_1058574_279_8faf287ceb7016f71eabecb23ae5ea2084a93490.JPG,FALSE,Aglais urticae,51.0905,-2.267,LatLong,9,1987,female,24.67,24.8,29.04,29.05,49.25,3.71
BMNHE_1058576_281_edb78e8b3de0a43f6456e6beffef9ffb61ecffa1.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,10,1974,female,23.44,23.52,28.23,28.23,44.62,3.08
BMNHE_1058579_284_dbfaff92a494caff2f2051e671a24aab70a10a0c.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,6,1976,female,23.11,24.13,28.49,28.79,47.45,3.87
BMNHE_1058580_285_c4775e4b854e9dae9c0f677350f0922cd3a0a90b.JPG,FALSE,Aglais urticae,51.1835,-2.1066,LatLong,7,1992,female,24.59,24.64,29.24,29.42,48.08,4.11
BMNHE_1058584_245_39f62df8967671b670171fb65cfd895fcb49cc33.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,8,1976,female,19.81,20.14,23.42,23.42,37,2.81
BMNHE_1058594_255_b6ecfb9917593d5997f09e184dea7a701d140741.JPG,FALSE,Aglais urticae,51.084,-2.3156,LatLong,8,1983,male,22.52,23,28.33,28.55,44.27,4.09
BMNHE_1058597_286_a0676b15824100a7f0ddf313aeb7fe850d774f64.JPG,FALSE,Aglais urticae,51.0905,-2.267,LatLong,8,1984,female,23.12,22.48,27.14,26.83,42.21,3.4
BMNHE_1058604_293_556acd13456b678c3826e3c526d91c8e66ac9057.JPG,FALSE,Aglais urticae,51.0936,-2.1291,LatLong,8,1984,male,24.9,24.3,29.63,29.36,47.86,3.86
BMNHE_1058607_296_3b00637c49ed89de2d0ba70067e822b87a03f7e3.JPG,FALSE,Aglais urticae,51.2463,-1.9922,LatLong,10,1973,male,21.19,20.46,26.75,26.27,39.21,3.25
BMNHE_1058616_307_3c88cdc4ee3f6d8da1b3ef3705556f83175830d3.JPG,FALSE,Aglais urticae,51.0905,-2.267,LatLong,9,1987,female,22.09,22.39,27.94,27.81,43.11,4.3
BMNHE_1058617_308_3a86aa1bbb21189d8a2a35f0f2081dc1e69134ef.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,10,1978,female,22.28,23.48,27.9,28.11,43.51,4.3
BMNHE_1058555_260_2c54cb508e533c6c26c347aaf759846ef9a8872e.JPG,FALSE,Aglais urticae,51.5343,-0.455,LatLong,7,1971,female,20.66,20.6,26.52,26.16,36.83,3
BMNHE_1058559_264_80ee8a900f51914fc33cc161d1fdaa365c7eeca4.JPG,FALSE,Aglais urticae,51.5343,-0.455,LatLong,7,1987,female,22.79,22.63,29.02,29.25,42.09,4.29
BMNHE_1058566_271_a939e06171fce694121bb647de1bdcfd0d309bfb.JPG,FALSE,Aglais urticae,51.5343,-0.455,LatLong,7,1971,female,20.45,19.29,24.75,24.75,35.14,1.13
BMNHE_1058572_277_2bd997b6d4569c47c8f2358f03b128725b572de5.JPG,FALSE,Aglais urticae,50.4543,-4.9978,LatLong,8,1963,female,23.96,24.8,29.56,29.37,43.56,2.75
BMNHE_1058575_280_4f6b345b93c5e3efc544783d4188d5c323809127.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,10,1974,female,23.66,23.85,28.56,28.47,45.97,3.28
BMNHE_1058578_283_1130358dffd3ff381be7f069de5099fc1353eaab.JPG,FALSE,Aglais urticae,50.4543,-4.9978,LatLong,8,1963,female,22.83,23.35,27.84,27.95,48.58,4.64
BMNHE_1058581_242_886feb3134bb25a29c59f21e93ac5a71a96af30c.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,10,1974,female,22.19,22.15,26.09,26.04,44.63,3.28
BMNHE_1058582_243_9a0a659eedb438590e71d030a55fc39c6b533cf7.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,6,1976,female,20.68,20.82,25.59,25.38,40.02,3.54
BMNHE_1058583_244_6e03d52c3b414418766c9793b1ab42888eb187ad.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,8,1976,female,19.81,20.25,25.4,25.6,38.62,3.7
BMNHE_1058585_246_7ac59b59c1e37756d21b3a4b69ca85fa3a8ef2c3.JPG,FALSE,Aglais urticae,51.0723,-2.1722,LatLong,8,1976,female,20.92,20.38,25.6,25.19,39.93,3.35
BMNHE_1058586_247_92fbee631aed7cd4e2a1fbaca330ac5a46b59a2b.JPG,FALSE,Aglais urticae,51.1371,-1.991,LatLong,7,1978,female,21.44,22.47,26.57,26.2,43.52,4.1
BMNHE_1058587_248_78a0e92798e28eab038d0706d457b107f9143b93.JPG,FALSE,Aglais urticae,51.0936,-2.1291,LatLong,6,1984,female,21.98,22.4,26.32,27.24,44.11,4.1
BMNHE_1058588_249_81b25bebfaf9c3d9ddfa97da6767c9206ec03223.JPG,FALSE,Aglais urticae,51.0936,-2.1291,LatLong,6,1984,female,23.18,22.84,26.6,26.5,41.36,0.67
BMNHE_1058589_250_5a3f9f45b28bfd4f01da4f60fb6ba770e56cd0c0.JPG,FALSE,Aglais urticae,51.1356,-2.0386,LatLong,8,1991,female,23.6,23.69,29.22,28.82,44.04,3.87
