Sp,Latitude,Longitude,Month,Year,YearRescale,Sex,Right_wing,FocalMonthLateLarval,Temp
Aglais urticae,51.5343,-0.455,8,1987,1.87,female,20.74,May,11.005
Aglais urticae,50.4543,-4.9978,8,1963,1.63,female,22.63,May,10.541
Aglais urticae,51.0723,-2.1722,6,1976,1.76,female,24.13,May,11.334
Aglais urticae,51.1835,-2.1066,7,1992,1.92,female,24.64,May,12.997
Aglais urticae,51.0723,-2.1722,8,1976,1.76,female,20.14,May,11.334
Aglais urticae,51.084,-2.3156,8,1983,1.83,male,23,May,9.804
Aglais urticae,51.0905,-2.267,8,1984,1.84,female,22.48,May,9.543
Aglais urticae,51.0936,-2.1291,8,1984,1.84,male,24.3,May,9.543
Aglais urticae,51.5343,-0.455,7,1971,1.71,female,20.6,May,12.412
Aglais urticae,51.5343,-0.455,7,1987,1.87,female,22.63,May,11.005
Aglais urticae,51.5343,-0.455,7,1971,1.71,female,19.29,May,12.412
Aglais urticae,50.4543,-4.9978,8,1963,1.63,female,24.8,May,10.541
Aglais urticae,50.4543,-4.9978,8,1963,1.63,female,23.35,May,10.541
Aglais urticae,51.0723,-2.1722,6,1976,1.76,female,20.82,May,11.334
Aglais urticae,51.0723,-2.1722,8,1976,1.76,female,20.25,May,11.334
Aglais urticae,51.0723,-2.1722,8,1976,1.76,female,20.38,May,11.334
Aglais urticae,51.1371,-1.991,7,1978,1.78,female,22.47,May,11.343
Aglais urticae,51.0936,-2.1291,6,1984,1.84,female,22.4,May,9.543
Aglais urticae,51.0936,-2.1291,6,1984,1.84,female,22.84,May,9.543
Aglais urticae,51.1356,-2.0386,8,1991,1.91,female,23.69,May,10.68
Aglais urticae,50.9721,-2.1677,8,1978,1.78,female,21.14,May,11.287
Aglais urticae,51.1835,-2.1066,8,1978,1.78,female,24.43,May,11.034
Aglais urticae,51.1269,-2.097,7,1987,1.87,female,21.76,May,10.018
Aglais urticae,51.0905,-2.267,8,1984,1.84,female,22.47,May,9.543
Aglais urticae,50.4543,-4.9978,8,1976,1.76,female,21.59,May,11.074
Aglais urticae,51.2463,-1.9922,8,1990,1.9,female,22.69,May,12.8
Aglais urticae,51.0905,-2.267,8,1984,1.84,female,22.42,May,9.543
Aglais urticae,51.0936,-2.1291,7,1990,1.9,female,25.24,May,12.507
Aglais urticae,51.0936,-2.1291,8,1987,1.87,female,23.68,May,10.018
Aglais urticae,51.7961,-0.6559,7,1899,0.99,female,21.69,May,9.906
Aglais urticae,51.7961,-0.6559,7,1901,1.01,female,19.27,May,10.842
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.28,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.58,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.16,May,12.765
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.39,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.77,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.15,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.27,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.98,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.86,May,12.864
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,21.52,May,12.16
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,20.96,May,12.16
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.35,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.56,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,22.01,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.4,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.1,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.55,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.12,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.15,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.35,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,22.92,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,25.1,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,25.41,May,12.864
Aglais urticae,51.7961,-0.6559,7,1899,0.99,female,24.29,May,9.906
Aglais urticae,51.6755,-0.6072,8,1909,1.09,male,21.94,May,10.798
Aglais urticae,51.6755,-0.6072,8,1909,1.09,female,23.97,May,10.798
Aglais urticae,51.7961,-0.6559,7,1919,1.19,female,22.54,May,13.058
Aglais urticae,51.7961,-0.6559,8,1919,1.19,female,24.61,May,13.058
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,22.16,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.73,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.23,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,22.13,May,12.765
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.33,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,22.37,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.29,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.66,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.53,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.8,May,12.864
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,22.98,May,12.16
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,21.31,May,12.16
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,23.53,May,12.16
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,22.16,May,12.16
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,21.95,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.33,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,23,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.1,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,24.91,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,26.64,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,25.67,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.66,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.43,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.07,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.02,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.56,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.12,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.78,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,21.19,May,12.864
Aglais urticae,51.7961,-0.6559,7,1899,0.99,female,26.02,May,9.906
Aglais urticae,51.7961,-0.6559,7,1899,0.99,female,20.24,May,9.906
Aglais urticae,51.7961,-0.6559,7,1901,1.01,female,21.3,May,10.842
Aglais urticae,51.7961,-0.6559,7,1901,1.01,female,18.36,May,10.842
Aglais urticae,51.7961,-0.6559,7,1901,1.01,female,18.49,May,10.842
Aglais urticae,51.7961,-0.6559,7,1899,0.99,male,21.87,May,9.906
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,22.1,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.9,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.21,May,12.765
Aglais urticae,50.8474,0.2188,8,1919,1.19,female,21.8,May,12.765
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,19.75,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.84,May,12.864
Aglais urticae,50.547,-3.4967,8,1891,0.91,female,23.37,May,9.943
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.7,May,12.864
Aglais urticae,51.7961,-0.6559,7,1900,1,female,23.99,May,10.207
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.52,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.42,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,23.1,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.97,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.77,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,22.81,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.44,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.39,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.26,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.59,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.84,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.1,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.04,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.48,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.42,May,12.864
Aglais urticae,51.7961,-0.6559,8,1902,1.02,female,22.59,May,8.538
Aglais urticae,51.7961,-0.6559,7,1901,1.01,female,18.96,May,10.842
Aglais urticae,51.7961,-0.6559,7,1899,0.99,female,22.24,May,9.906
Aglais urticae,51.7961,-0.6559,7,1919,1.19,female,23.38,May,13.058
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,23.85,May,12.864
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,23.75,May,12.16
Aglais urticae,51.0427,-0.8918,8,1920,1.2,female,23.1,May,12.16
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.28,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.68,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.58,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.53,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.83,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.42,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.19,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.13,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.35,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.77,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.8,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.77,May,12.864
Aglais urticae,51.7961,-0.6559,7,1899,0.99,female,23.22,May,9.906
Aglais urticae,51.7961,-0.6559,7,1899,0.99,male,21.3,May,9.906
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.44,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.62,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.64,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,20.41,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,23.24,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.93,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.82,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.38,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,20.82,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,22.1,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.6,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,25.19,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,21.36,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,23.46,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.53,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.63,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.67,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.04,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,22.69,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.36,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.18,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.13,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.66,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,21.17,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.92,May,12.864
Aglais urticae,50.5731,-4.9157,8,1946,1.46,female,21.43,May,10.706
Aglais urticae,50.7184,-3.5339,8,1948,1.48,female,20.96,May,11.705
Aglais urticae,51.1781,-4.6673,8,1949,1.49,female,22.26,May,10.292
Aglais urticae,51.6024,-0.6442,8,1924,1.24,female,25.78,May,11.983
Aglais urticae,52.3709,-1.265,8,1921,1.21,female,22.01,May,10.866
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,26.66,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,23.42,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.82,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,20.18,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.74,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.46,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,24.67,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.54,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.74,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.29,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,25,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,21.9,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.46,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,22.97,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,21.94,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,female,23.38,May,12.864
Aglais urticae,51.4399,0.1543,7,1912,1.12,male,21.49,May,12.864
Aglais urticae,50.5731,-4.9157,8,1946,1.46,female,23.7,May,10.706
Aglais urticae,50.5731,-4.9157,8,1946,1.46,female,23.69,May,10.706
Aglais urticae,50.5731,-4.9157,8,1946,1.46,female,21.61,May,10.706
Aglais urticae,52.3709,-1.265,7,1920,1.2,female,23.88,May,11.228
Aglais urticae,52.3709,-1.265,8,1921,1.21,female,20.33,May,10.866
Aglais urticae,52.3709,-1.265,8,1921,1.21,female,23.46,May,10.866
