CTYUA23NM,MidDate,Year,Month,MidDay,MeanTemp
Hartlepool,1884-01-16,1884,1,16,5.210871
Hartlepool,1884-02-16,1884,2,16,4.076632
Hartlepool,1884-03-16,1884,3,16,5.280457
Hartlepool,1884-04-16,1884,4,16,5.852699
Hartlepool,1884-05-16,1884,5,16,9.74619
Hartlepool,1884-06-16,1884,6,16,12.485692
Hartlepool,1884-07-16,1884,7,16,14.770068
Hartlepool,1884-08-16,1884,8,16,15.312613
Hartlepool,1884-09-16,1884,9,16,12.859244
Hartlepool,1884-10-16,1884,10,16,8.341863
Hartlepool,1884-11-16,1884,11,16,4.958986
Hartlepool,1884-12-16,1884,12,16,3.100312
Hartlepool,1885-01-16,1885,1,16,2.031223
Hartlepool,1885-02-16,1885,2,16,4.305212
Hartlepool,1885-03-16,1885,3,16,3.49181
Hartlepool,1885-04-16,1885,4,16,6.528195
Hartlepool,1885-05-16,1885,5,16,7.348004
Hartlepool,1885-06-16,1885,6,16,12.281896
Hartlepool,1885-07-16,1885,7,16,14.993277
Hartlepool,1885-08-16,1885,8,16,12.201445
Hartlepool,1885-09-16,1885,9,16,10.916931
Hartlepool,1885-10-16,1885,10,16,6.594255
Hartlepool,1885-11-16,1885,11,16,4.862437
Hartlepool,1885-12-16,1885,12,16,2.841054
Hartlepool,1886-01-16,1886,1,16,1.076757
Hartlepool,1886-02-16,1886,2,16,0.916619
Hartlepool,1886-03-16,1886,3,16,2.882969
Hartlepool,1886-04-16,1886,4,16,5.773417
Hartlepool,1886-05-16,1886,5,16,8.352359
Hartlepool,1886-06-16,1886,6,16,11.877378
Hartlepool,1886-07-16,1886,7,16,14.886594
Hartlepool,1886-08-16,1886,8,16,14.600543
Hartlepool,1886-09-16,1886,9,16,12.258588
Hartlepool,1886-10-16,1886,10,16,9.896545
Hartlepool,1886-11-16,1886,11,16,5.546438
Hartlepool,1886-12-16,1886,12,16,1.035031
Hartlepool,1887-01-16,1887,1,16,1.67091
Hartlepool,1887-02-16,1887,2,16,3.591498
Hartlepool,1887-03-16,1887,3,16,3.561732
Hartlepool,1887-04-16,1887,4,16,5.347105
Hartlepool,1887-05-16,1887,5,16,7.974751
Hartlepool,1887-06-16,1887,6,16,14.063818
Hartlepool,1887-07-16,1887,7,16,16.463362
Hartlepool,1887-08-16,1887,8,16,14.13869
Hartlepool,1887-09-16,1887,9,16,10.657619
